title,job_description,required_skills,required_experience,required_education
Frontend Developer,"Looking for a candidate with 1 years experience in Testing, Research, Collaboration, Leadership, Taxation, UX Design, Vue. Education required: High School.","Testing, Research, Collaboration, Leadership, Taxation, UX Design, Vue",10 years,PhD
Marketing Coordinator,"Looking for a candidate with 2 years experience in Scrum, Agile, C++, GCP, Data Analysis, Python, Django. Education required: Bachelors.","Scrum, Agile, C++, GCP, Data Analysis, Python, Django",7 years,Bachelors
Financial Analyst,"Looking for a candidate with 15 years experience in Financial Analysis, Docker, Scrum, Deep Learning. Education required: High School.","Financial Analysis, Docker, Scrum, Deep Learning",1 years,High School
UX Designer,"Looking for a candidate with 16 years experience in Python, Communication, Customer Support, Figma. Education required: Bachelors.","Python, Communication, Customer Support, Figma",6 years,PhD
Backend Developer,"Looking for a candidate with 2 years experience in Figma, Project Management, Tableau. Education required: PhD.","Figma, Project Management, Tableau",17 years,Masters
Human Resources Manager,"Looking for a candidate with 10 years experience in Testing, GCP, Tableau, C#, Taxation, Angular. Education required: High School.","Testing, GCP, Tableau, C#, Taxation, Angular",12 years,Masters
Healthcare Researcher,"Looking for a candidate with 11 years experience in Machine Learning, Django, Jira, Research, UX Design. Education required: PhD.","Machine Learning, Django, Jira, Research, UX Design",5 years,High School
Project Manager,"Looking for a candidate with 7 years experience in Tableau, Kubernetes, Taxation, Adobe Illustrator, C++, Customer Support. Education required: High School.","Tableau, Kubernetes, Taxation, Adobe Illustrator, C++, Customer Support",17 years,Masters
Marketing Coordinator,"Looking for a candidate with 4 years experience in GCP, SQL, AWS, Java. Education required: Bachelors.","GCP, SQL, AWS, Java",2 years,High School
SEO Specialist,"Looking for a candidate with 14 years experience in Flask, GCP, HTML, SQL, Node.js. Education required: Bachelors.","Flask, GCP, HTML, SQL, Node.js",2 years,PhD
Marketing Coordinator,"Looking for a candidate with 17 years experience in Flask, Testing, Collaboration. Education required: Masters.","Flask, Testing, Collaboration",19 years,Bachelors
DevOps Engineer,"Looking for a candidate with 11 years experience in Testing, Python, SQL, Adobe Illustrator, Java, Azure. Education required: PhD.","Testing, Python, SQL, Adobe Illustrator, Java, Azure",17 years,High School
Clinical Trial Associate,"Looking for a candidate with 2 years experience in Adobe Illustrator, Collaboration, Statistics. Education required: Masters.","Adobe Illustrator, Collaboration, Statistics",10 years,Masters
Software Engineer,"Looking for a candidate with 19 years experience in SEO, Taxation, Financial Analysis, Healthcare, C++, Django. Education required: High School.","SEO, Taxation, Financial Analysis, Healthcare, C++, Django",2 years,High School
Project Manager,"Looking for a candidate with 17 years experience in CSS, Flask, Java, Project Management, Collaboration. Education required: PhD.","CSS, Flask, Java, Project Management, Collaboration",13 years,PhD
Mechanical Engineer,"Looking for a candidate with 11 years experience in Healthcare, Project Management, Flask, Adobe Photoshop. Education required: Masters.","Healthcare, Project Management, Flask, Adobe Photoshop",8 years,PhD
Mechanical Engineer,"Looking for a candidate with 18 years experience in Machine Learning, Accounting, Flask, Project Management, Adobe Photoshop, Azure, Marketing. Education required: Masters.","Machine Learning, Accounting, Flask, Project Management, Adobe Photoshop, Azure, Marketing",20 years,High School
UX Designer,"Looking for a candidate with 16 years experience in Healthcare, C++, Leadership. Education required: Bachelors.","Healthcare, C++, Leadership",2 years,Bachelors
Backend Developer,"Looking for a candidate with 13 years experience in Python, Power BI, Collaboration, Java, UX Design. Education required: High School.","Python, Power BI, Collaboration, Java, UX Design",15 years,Bachelors
SEO Specialist,"Looking for a candidate with 2 years experience in Jira, Leadership, Testing, Customer Support, Node.js. Education required: Bachelors.","Jira, Leadership, Testing, Customer Support, Node.js",10 years,High School
SEO Specialist,"Looking for a candidate with 1 years experience in Django, HTML, Docker, Customer Support, UX Design, Research. Education required: Bachelors.","Django, HTML, Docker, Customer Support, UX Design, Research",8 years,High School
Frontend Developer,"Looking for a candidate with 12 years experience in Collaboration, Leadership, Java, Clinical Trials, Healthcare. Education required: PhD.","Collaboration, Leadership, Java, Clinical Trials, Healthcare",8 years,High School
Clinical Trial Associate,"Looking for a candidate with 13 years experience in Python, SQL, Figma, Jira, Research, Data Analysis, Adobe Illustrator. Education required: Bachelors.","Python, SQL, Figma, Jira, Research, Data Analysis, Adobe Illustrator",2 years,PhD
Marketing Coordinator,"Looking for a candidate with 13 years experience in Adobe Photoshop, Problem Solving, Node.js, HTML, React. Education required: Masters.","Adobe Photoshop, Problem Solving, Node.js, HTML, React",18 years,PhD
SEO Specialist,"Looking for a candidate with 9 years experience in Deep Learning, Adobe Illustrator, Azure, Power BI, Leadership, Node.js, Project Management. Education required: Masters.","Deep Learning, Adobe Illustrator, Azure, Power BI, Leadership, Node.js, Project Management",17 years,Masters
Human Resources Manager,"Looking for a candidate with 19 years experience in UI Design, Azure, Healthcare. Education required: Masters.","UI Design, Azure, Healthcare",10 years,Masters
Healthcare Researcher,"Looking for a candidate with 19 years experience in Problem Solving, Scrum, Tableau, Marketing. Education required: Bachelors.","Problem Solving, Scrum, Tableau, Marketing",3 years,Masters
SEO Specialist,"Looking for a candidate with 9 years experience in C++, Copywriting, Financial Analysis, Python, Angular, Figma. Education required: Masters.","C++, Copywriting, Financial Analysis, Python, Angular, Figma",6 years,PhD
Financial Analyst,"Looking for a candidate with 6 years experience in Node.js, C#, JavaScript, Scrum, Project Management. Education required: Bachelors.","Node.js, C#, JavaScript, Scrum, Project Management",2 years,PhD
Full-stack Developer,"Looking for a candidate with 6 years experience in UI Design, C#, Kubernetes. Education required: Bachelors.","UI Design, C#, Kubernetes",3 years,Bachelors
Project Manager,"Looking for a candidate with 4 years experience in Financial Analysis, Accounting, HTML, UX Design, React, Time Management, Data Analysis. Education required: PhD.","Financial Analysis, Accounting, HTML, UX Design, React, Time Management, Data Analysis",13 years,High School
Financial Analyst,"Looking for a candidate with 6 years experience in Docker, Time Management, C++. Education required: PhD.","Docker, Time Management, C++",14 years,Bachelors
Data Scientist,"Looking for a candidate with 14 years experience in Testing, Angular, GCP, Power BI, Azure, Deep Learning, Machine Learning. Education required: PhD.","Testing, Angular, GCP, Power BI, Azure, Deep Learning, Machine Learning",10 years,Bachelors
Full-stack Developer,"Looking for a candidate with 4 years experience in CSS, Scrum, Node.js, Healthcare, Python, Java. Education required: Bachelors.","CSS, Scrum, Node.js, Healthcare, Python, Java",12 years,High School
UI Designer,"Looking for a candidate with 8 years experience in Azure, Django, Java. Education required: High School.","Azure, Django, Java",20 years,Masters
Marketing Coordinator,"Looking for a candidate with 4 years experience in Accounting, Power BI, CSS, Agile, Adobe Illustrator, Tableau. Education required: Bachelors.","Accounting, Power BI, CSS, Agile, Adobe Illustrator, Tableau",7 years,High School
UI Designer,"Looking for a candidate with 4 years experience in Kubernetes, Java, HTML. Education required: Bachelors.","Kubernetes, Java, HTML",6 years,High School
Software Engineer,"Looking for a candidate with 11 years experience in Project Management, Java, HTML, Content Writing, Taxation, Python. Education required: Masters.","Project Management, Java, HTML, Content Writing, Taxation, Python",1 years,High School
Product Manager,"Looking for a candidate with 11 years experience in Taxation, Data Analysis, CSS, Statistics, Kubernetes, Flask. Education required: Bachelors.","Taxation, Data Analysis, CSS, Statistics, Kubernetes, Flask",1 years,PhD
Financial Analyst,"Looking for a candidate with 5 years experience in AWS, Django, CSS, Python, Docker, Problem Solving, Vue. Education required: Bachelors.","AWS, Django, CSS, Python, Docker, Problem Solving, Vue",10 years,PhD
Financial Analyst,"Looking for a candidate with 12 years experience in SEO, Angular, Collaboration, Scrum, AWS. Education required: Bachelors.","SEO, Angular, Collaboration, Scrum, AWS",11 years,Masters
Frontend Developer,"Looking for a candidate with 11 years experience in Machine Learning, Copywriting, JavaScript. Education required: PhD.","Machine Learning, Copywriting, JavaScript",15 years,High School
Accountant,"Looking for a candidate with 3 years experience in Azure, C++, Project Management, Scrum, HTML, Jira. Education required: Bachelors.","Azure, C++, Project Management, Scrum, HTML, Jira",19 years,Bachelors
Data Scientist,"Looking for a candidate with 8 years experience in React, Financial Analysis, Adobe Illustrator, Accounting, Deep Learning, GCP. Education required: Bachelors.","React, Financial Analysis, Adobe Illustrator, Accounting, Deep Learning, GCP",17 years,PhD
Full-stack Developer,"Looking for a candidate with 11 years experience in Clinical Trials, Flask, Vue. Education required: PhD.","Clinical Trials, Flask, Vue",12 years,Bachelors
Product Manager,"Looking for a candidate with 11 years experience in Vue, AWS, UX Design, Jira, Scrum, Angular. Education required: High School.","Vue, AWS, UX Design, Jira, Scrum, Angular",5 years,Bachelors
Clinical Trial Associate,"Looking for a candidate with 19 years experience in Node.js, AWS, Kubernetes, Clinical Trials. Education required: Bachelors.","Node.js, AWS, Kubernetes, Clinical Trials",13 years,PhD
UI Designer,"Looking for a candidate with 11 years experience in Communication, Deep Learning, C++, AWS, Content Writing, Django. Education required: PhD.","Communication, Deep Learning, C++, AWS, Content Writing, Django",6 years,PhD
Mechanical Engineer,"Looking for a candidate with 18 years experience in Copywriting, UX Design, Jira, AWS, SEO. Education required: PhD.","Copywriting, UX Design, Jira, AWS, SEO",16 years,High School
Healthcare Researcher,"Looking for a candidate with 8 years experience in Leadership, Agile, Jira, Healthcare, Marketing, Angular. Education required: PhD.","Leadership, Agile, Jira, Healthcare, Marketing, Angular",5 years,PhD
Clinical Trial Associate,"Looking for a candidate with 1 years experience in Content Writing, Project Management, Time Management, SEO, Angular, Testing. Education required: Bachelors.","Content Writing, Project Management, Time Management, SEO, Angular, Testing",9 years,High School
UX Designer,"Looking for a candidate with 20 years experience in Docker, React, Research. Education required: Bachelors.","Docker, React, Research",16 years,Masters
Content Writer,"Looking for a candidate with 10 years experience in Kubernetes, Java, Content Writing. Education required: Masters.","Kubernetes, Java, Content Writing",12 years,Masters
SEO Specialist,"Looking for a candidate with 11 years experience in Data Analysis, Problem Solving, Figma, Research, C++. Education required: Bachelors.","Data Analysis, Problem Solving, Figma, Research, C++",15 years,High School
Accountant,"Looking for a candidate with 9 years experience in HTML, Flask, Collaboration, Agile. Education required: High School.","HTML, Flask, Collaboration, Agile",16 years,High School
Human Resources Manager,"Looking for a candidate with 2 years experience in JavaScript, React, Research, Tableau, Django, SQL. Education required: Masters.","JavaScript, React, Research, Tableau, Django, SQL",8 years,Bachelors
Healthcare Researcher,"Looking for a candidate with 8 years experience in Healthcare, Docker, Machine Learning, Content Writing, SEO. Education required: High School.","Healthcare, Docker, Machine Learning, Content Writing, SEO",16 years,Masters
Graphic Designer,"Looking for a candidate with 12 years experience in C#, Data Analysis, Statistics, Testing, Problem Solving. Education required: PhD.","C#, Data Analysis, Statistics, Testing, Problem Solving",17 years,High School
Product Manager,"Looking for a candidate with 14 years experience in Jira, Figma, Problem Solving, Agile. Education required: Masters.","Jira, Figma, Problem Solving, Agile",18 years,Masters
UX Designer,"Looking for a candidate with 16 years experience in Statistics, Java, Python, Clinical Trials, Time Management. Education required: Bachelors.","Statistics, Java, Python, Clinical Trials, Time Management",19 years,Masters
Data Scientist,"Looking for a candidate with 4 years experience in JavaScript, Copywriting, Figma, Clinical Trials. Education required: Masters.","JavaScript, Copywriting, Figma, Clinical Trials",7 years,Bachelors
SEO Specialist,"Looking for a candidate with 3 years experience in Adobe Photoshop, Node.js, Content Writing, Testing, C#, JavaScript, Research. Education required: PhD.","Adobe Photoshop, Node.js, Content Writing, Testing, C#, JavaScript, Research",7 years,High School
Marketing Coordinator,"Looking for a candidate with 8 years experience in Collaboration, Data Analysis, UI Design, Java, Scrum, Copywriting. Education required: High School.","Collaboration, Data Analysis, UI Design, Java, Scrum, Copywriting",4 years,High School
Mechanical Engineer,"Looking for a candidate with 19 years experience in HTML, Research, Adobe Photoshop, Python. Education required: Bachelors.","HTML, Research, Adobe Photoshop, Python",7 years,High School
Product Manager,"Looking for a candidate with 3 years experience in Statistics, Taxation, Research, Adobe Illustrator, UX Design. Education required: PhD.","Statistics, Taxation, Research, Adobe Illustrator, UX Design",6 years,High School
UI Designer,"Looking for a candidate with 19 years experience in Kubernetes, Statistics, Leadership, Deep Learning, Research, Django, React. Education required: High School.","Kubernetes, Statistics, Leadership, Deep Learning, Research, Django, React",7 years,Bachelors
DevOps Engineer,"Looking for a candidate with 15 years experience in Customer Support, SEO, Figma, JavaScript, Financial Analysis, UX Design, GCP. Education required: PhD.","Customer Support, SEO, Figma, JavaScript, Financial Analysis, UX Design, GCP",14 years,Masters
Marketing Coordinator,"Looking for a candidate with 19 years experience in Collaboration, Customer Support, Data Analysis, Azure. Education required: Bachelors.","Collaboration, Customer Support, Data Analysis, Azure",14 years,Masters
Accountant,"Looking for a candidate with 4 years experience in Adobe Photoshop, Copywriting, Adobe Illustrator, Tableau. Education required: High School.","Adobe Photoshop, Copywriting, Adobe Illustrator, Tableau",14 years,Bachelors
Graphic Designer,"Looking for a candidate with 20 years experience in Django, Accounting, Kubernetes, SQL. Education required: PhD.","Django, Accounting, Kubernetes, SQL",6 years,Masters
Project Manager,"Looking for a candidate with 9 years experience in CSS, Machine Learning, Angular. Education required: Bachelors.","CSS, Machine Learning, Angular",9 years,Bachelors
Software Engineer,"Looking for a candidate with 9 years experience in Python, Clinical Trials, Angular, Machine Learning. Education required: Masters.","Python, Clinical Trials, Angular, Machine Learning",8 years,High School
DevOps Engineer,"Looking for a candidate with 16 years experience in Time Management, Marketing, CSS, Testing, Python. Education required: High School.","Time Management, Marketing, CSS, Testing, Python",4 years,Masters
Marketing Coordinator,"Looking for a candidate with 10 years experience in Adobe Photoshop, Jira, Azure, Agile, Content Writing, Leadership, SQL. Education required: High School.","Adobe Photoshop, Jira, Azure, Agile, Content Writing, Leadership, SQL",12 years,Bachelors
Product Manager,"Looking for a candidate with 8 years experience in Taxation, Angular, Content Writing, Copywriting, Machine Learning, Financial Analysis. Education required: High School.","Taxation, Angular, Content Writing, Copywriting, Machine Learning, Financial Analysis",20 years,PhD
Human Resources Manager,"Looking for a candidate with 18 years experience in Docker, GCP, Node.js, Statistics, Machine Learning. Education required: High School.","Docker, GCP, Node.js, Statistics, Machine Learning",12 years,Bachelors
Marketing Coordinator,"Looking for a candidate with 14 years experience in Deep Learning, Clinical Trials, JavaScript, Jira, GCP, Tableau. Education required: Masters.","Deep Learning, Clinical Trials, JavaScript, Jira, GCP, Tableau",15 years,High School
SEO Specialist,"Looking for a candidate with 20 years experience in Java, Customer Support, Adobe Photoshop, Clinical Trials, SQL. Education required: High School.","Java, Customer Support, Adobe Photoshop, Clinical Trials, SQL",2 years,Masters
SEO Specialist,"Looking for a candidate with 13 years experience in Time Management, Azure, Collaboration, Kubernetes, Docker. Education required: High School.","Time Management, Azure, Collaboration, Kubernetes, Docker",16 years,Bachelors
UX Designer,"Looking for a candidate with 1 years experience in GCP, JavaScript, Clinical Trials, C++, Testing. Education required: High School.","GCP, JavaScript, Clinical Trials, C++, Testing",11 years,High School
Marketing Coordinator,"Looking for a candidate with 20 years experience in C++, Deep Learning, AWS. Education required: Masters.","C++, Deep Learning, AWS",7 years,Masters
Backend Developer,"Looking for a candidate with 14 years experience in Content Writing, Statistics, C++, Research, Customer Support, Vue, Leadership. Education required: Masters.","Content Writing, Statistics, C++, Research, Customer Support, Vue, Leadership",18 years,PhD
Graphic Designer,"Looking for a candidate with 10 years experience in Deep Learning, C++, Flask, Financial Analysis, Time Management, Collaboration, Node.js. Education required: Masters.","Deep Learning, C++, Flask, Financial Analysis, Time Management, Collaboration, Node.js",13 years,Bachelors
Software Engineer,"Looking for a candidate with 8 years experience in Scrum, UX Design, Power BI. Education required: Masters.","Scrum, UX Design, Power BI",19 years,PhD
Financial Analyst,"Looking for a candidate with 9 years experience in Figma, Python, Data Analysis, Time Management, GCP, Node.js, Docker. Education required: PhD.","Figma, Python, Data Analysis, Time Management, GCP, Node.js, Docker",18 years,Masters
Project Manager,"Looking for a candidate with 7 years experience in Node.js, Collaboration, Power BI. Education required: PhD.","Node.js, Collaboration, Power BI",8 years,PhD
Healthcare Researcher,"Looking for a candidate with 17 years experience in CSS, Python, Tableau, Communication. Education required: PhD.","CSS, Python, Tableau, Communication",16 years,High School
Product Manager,"Looking for a candidate with 15 years experience in React, Marketing, Testing, Java, Communication, Data Analysis. Education required: PhD.","React, Marketing, Testing, Java, Communication, Data Analysis",5 years,Bachelors
Human Resources Manager,"Looking for a candidate with 6 years experience in Time Management, Power BI, Python, AWS, Node.js. Education required: Masters.","Time Management, Power BI, Python, AWS, Node.js",1 years,Bachelors
Clinical Trial Associate,"Looking for a candidate with 7 years experience in Collaboration, C++, Angular, Kubernetes, Communication, Healthcare, C#. Education required: Bachelors.","Collaboration, C++, Angular, Kubernetes, Communication, Healthcare, C#",8 years,High School
Healthcare Researcher,"Looking for a candidate with 20 years experience in Adobe Illustrator, Django, Azure, Testing. Education required: Masters.","Adobe Illustrator, Django, Azure, Testing",18 years,PhD
Data Scientist,"Looking for a candidate with 16 years experience in UX Design, Clinical Trials, Leadership, Adobe Illustrator, HTML, Power BI, SEO. Education required: PhD.","UX Design, Clinical Trials, Leadership, Adobe Illustrator, HTML, Power BI, SEO",11 years,Bachelors
Healthcare Researcher,"Looking for a candidate with 5 years experience in Adobe Illustrator, Tableau, UX Design, Angular, Django. Education required: High School.","Adobe Illustrator, Tableau, UX Design, Angular, Django",16 years,Masters
SEO Specialist,"Looking for a candidate with 20 years experience in Time Management, Clinical Trials, C++, Python, Project Management, Azure, Vue. Education required: High School.","Time Management, Clinical Trials, C++, Python, Project Management, Azure, Vue",8 years,Masters
Backend Developer,"Looking for a candidate with 19 years experience in SQL, Kubernetes, Healthcare. Education required: Bachelors.","SQL, Kubernetes, Healthcare",16 years,Masters
Data Scientist,"Looking for a candidate with 1 years experience in Taxation, GCP, Node.js, Azure. Education required: Masters.","Taxation, GCP, Node.js, Azure",9 years,High School
Clinical Trial Associate,"Looking for a candidate with 5 years experience in Machine Learning, Taxation, Time Management, React, Research. Education required: PhD.","Machine Learning, Taxation, Time Management, React, Research",10 years,PhD
Clinical Trial Associate,"Looking for a candidate with 2 years experience in Flask, Docker, Time Management, UX Design. Education required: Bachelors.","Flask, Docker, Time Management, UX Design",14 years,Bachelors
Backend Developer,"Looking for a candidate with 6 years experience in Kubernetes, Jira, SQL. Education required: High School.","Kubernetes, Jira, SQL",3 years,Masters
UI Designer,"Looking for a candidate with 1 years experience in Machine Learning, Copywriting, Jira, Marketing. Education required: High School.","Machine Learning, Copywriting, Jira, Marketing",8 years,Bachelors
